,Survey Year,SalaryUSD,PostalCode,EmploymentStatus,JobTitle,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,Gender,OtherJobDuties
0,2020,115000.0,03,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",5,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
1,2020,100000.0,,Full time employee,"Developer: App code (C#, JS, etc)",6,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
3,2020,70000.0,94133,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
4,2020,110000.0,95354,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),25,3,None,Male,Not Asked
5,2020,79500.0,78727,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
6,2020,110000.0,14216,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),4,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
8,2020,58000.0,85716,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
9,2020,125000.0,,Full time employee,Engineer,4,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
10,2020,87500.0,28213,Full time employee,"Developer: App code (C#, JS, etc)",10,3,1,Male,Not Asked
11,2020,120000.0,85383,Full time employee,Manager,9,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
12,2020,158000.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",4,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
13,2020,53000.0,87544,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),3,Female,Not Asked
15,2020,88000.0,,Full time employee,Analyst,4,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
21,2020,90000.0,62220,Full time employee of a consulting/contracting company,Analyst,1,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
22,2020,100000.0,73116,Full time employee,Developer: T-SQL,5,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
23,2020,128500.0,75201,Full time employee,Developer: T-SQL,4,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
24,2020,64000.0,76107,Full time employee,"Developer: App code (C#, JS, etc)",3,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
